,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
43,407c4938ef,43.62105,-116.458335,2.0,3.0,1721.0,2021-09-28,1.0,2250.0,Meridian,160010103353,2827,2.0813172145652135
44,17666b53ee,43.576538,-116.360991,3.0,4.0,2942.0,2021-09-29,1.0,2650.0,Meridian,160010103133,2828,2.7709420141670837
45,f37168d83f,43.550779,-116.435809,2.0,4.0,1845.0,2021-09-29,1.0,2400.0,Meridian,160010103131,2828,2.35331820116924
46,eb18ae45bf,43.651773,-116.42783,2.0,3.0,1671.0,2021-09-29,1.0,2200.0,Meridian,160010103351,2828,1.9866041834044843
47,f1f1f2a574,43.617804,-116.425558,2.0,3.0,1647.0,2021-09-29,1.0,2400.0,Meridian,160010103342,2828,2.35331820116924
49,27d051fa08,43.631452,-116.41174,2.0,3.0,1623.0,2021-09-30,1.0,2300.0,Meridian,160010103321,2829,2.173948471163752
51,f681dbba42,43.620724,-116.423367,2.0,3.0,1911.0,2021-09-30,1.0,2300.0,Meridian,160010103352,2829,2.173948471163752
52,ebb86411a9,43.621712,-116.457185,2.0,3.0,1721.0,2021-09-30,1.0,2250.0,Meridian,160010103353,2829,2.0813172145652135
53,971d437094,43.610221,-116.441229,2.0,3.0,1703.0,2021-09-30,1.0,2495.0,Meridian,160010103341,2829,2.516927095468798
54,9fd3f2f7d7,43.631767,-116.33961200000002,3.0,4.0,2526.0,2021-09-30,1.0,2600.0,Meridian,160010103313,2829,2.6906623961384866
55,63bc5a9ebe,43.544855,-116.436099,2.0,4.0,2025.0,2021-09-30,1.0,2625.0,Meridian,160010104012,2829,2.7309933499901176
56,2cacff5e18,43.643418,-116.396614,2.0,3.0,1467.0,2021-09-30,1.0,2400.0,Meridian,160010103321,2829,2.35331820116924
57,348421b64a,43.568279,-116.378559,2.0,3.0,1524.0,2021-09-30,1.0,2395.0,Meridian,160010103132,2829,2.3445287245415094
58,701c47f2b4,43.807816,-111.798292,2.0,2.0,1100.0,2019-08-01,2.0,1070.0,Rexburg,160659503023,2038,-1.0512398409293877
59,701c47f2b4,43.807816,-111.798292,2.0,2.0,1100.0,2019-08-02,2.0,1070.0,Rexburg,160659503023,2039,-1.0512398409293877
60,701c47f2b4,43.807816,-111.798292,2.0,2.0,1100.0,2019-08-05,2.0,1070.0,Rexburg,160659503023,2042,-1.0512398409293877
61,e984dba5cd,43.816585700000005,-111.8093034,1.5,2.0,1154.0,2019-08-02,2.0,1010.0,Rexburg,160659503022,2039,-1.294454576120096
62,e984dba5cd,43.816585700000005,-111.8093034,1.5,2.0,1154.0,2019-08-05,2.0,1010.0,Rexburg,160659503022,2042,-1.294454576120096
66,5e4315a63d,47.750385,-116.78055,3.0,4.0,1978.0,2016-11-17,1.0,1350.0,Hayden,160550010011,1051,-0.07158420303606547
67,9396eb996a,47.774536,-116.764626,2.0,3.0,1440.0,2016-11-17,1.0,1895.0,Hayden,160550018001,1051,1.3576305958237362
68,8e5e20a2d8,47.78836,-116.69922,1.0,2.0,1508.0,2016-11-17,1.0,2000.0,Hayden,160550018002,1051,1.5849144253618008
69,7329e7a12f,47.767258,-116.76166,2.0,3.0,1928.0,2016-11-17,1.0,1725.0,Hayden,160550018001,1051,0.9614972690610991
70,587316d6fb,43.4865547,-116.6104668,1.0,3.0,1544.0,2018-08-11,2.0,1050.0,Nampa,160270224001,1683,-1.130762058917227
71,3816151270,43.567659,-116.6063682,2.0,3.0,1350.0,2018-08-11,2.0,1100.0,Nampa,160270209021,1683,-0.934701010004234
72,c41d535101,43.670841,-116.683875,2.0,3.0,1434.0,2021-10-01,1.0,1850.0,Caldwell,160270213001,2830,1.2563414146519605
73,33aeeb6e6a,43.624392,-116.66616,3.0,4.0,1893.0,2021-10-01,1.0,2395.0,Caldwell,160270210011,2830,2.3445287245415094
75,d0c3bc46ee,43.628506,-116.63948700000002,2.0,3.0,1294.0,2021-10-02,3.0,1475.0,Caldwell,160270210011,2831,0.30162874048131005
76,b258b0e596,43.625976,-116.63893600000002,2.0,2.0,1200.0,2021-10-02,1.0,1575.0,Caldwell,160270210011,2831,0.5780919323888386
77,6e80ed8db3,43.6575165,-111.8892887,2.0,4.0,1020.0,2019-11-16,1.0,1099.0,Rigby,160519604004,2145,-0.9385341639887504
78,f4640b81be,43.575115,-116.39111,2.0,3.0,1310.0,2018-01-04,2.0,1350.0,Meridian,160010103132,1464,-0.07158420303606547
79,f4640b81be,43.575115,-116.39111,2.0,3.0,1310.0,2018-01-04,2.0,1325.0,Meridian,160010103132,1464,-0.15036317924163436
80,8d3183cf28,43.575115,-116.39111,2.0,2.0,1120.0,2018-01-04,2.0,1135.0,Meridian,160010103132,1464,-0.8026908105171012
81,8d3183cf28,43.575115,-116.39111,2.0,2.0,1120.0,2018-01-04,2.0,1125.0,Meridian,160010103132,1464,-0.839987978843505
83,9172a48324,43.59109,-116.40665,2.0,2.0,986.0,2018-01-04,2.0,1195.0,Meridian,160010103131,1464,-0.5855843143204754
84,fc3003710a,43.65022,-116.42654,2.0,3.0,1120.0,2018-01-04,2.0,1266.0,Meridian,160010103351,1464,-0.34233661830361506
85,e214fab0c6,43.65022,-116.42654,1.0,2.0,987.0,2018-01-04,2.0,1069.0,Meridian,160010103351,1464,-1.0551805167802557
86,ac288d1f14,43.65022,-116.42654,1.0,2.0,894.0,2018-01-04,2.0,1054.0,Meridian,160010103351,1464,-1.1147371251032798
87,a269fb977b,43.65022,-116.42654,1.0,2.0,907.0,2018-01-04,2.0,1019.0,Meridian,160010103351,1464,-1.2570654963669907
88,f0679f1787,43.65022,-116.42654,2.0,2.0,949.0,2018-01-04,2.0,1066.0,Meridian,160010103351,1464,-1.067024700262979
89,84d00248c7,43.60577,-116.44229,2.0,2.0,968.0,2018-01-04,2.0,1185.0,Meridian,160010103341,1464,-0.6210009304307494
90,618757fe3d,43.60577,-116.44229,2.0,2.0,1059.0,2018-01-04,2.0,1200.0,Meridian,160010103341,1464,-0.567986992239478
91,2db845fa67,43.60577,-116.44229,2.0,3.0,1180.0,2018-01-04,2.0,1350.0,Meridian,160010103341,1464,-0.07158420303606547
92,9a7a1d8a10,43.60577,-116.44229,1.0,2.0,882.0,2018-01-04,2.0,1160.0,Meridian,160010103341,1464,-0.7108668621320121
93,c12e6200c3,43.60577,-116.44229,2.0,2.0,1015.0,2018-01-04,2.0,1175.0,Meridian,160010103341,1464,-0.656717690933083
94,b72a0b93ea,43.60577,-116.44229,2.0,3.0,1150.0,2018-01-04,2.0,1350.0,Meridian,160010103341,1464,-0.07158420303606547
95,d212b21780,43.600277,-116.39604,2.0,2.0,995.0,2018-01-04,2.0,1255.0,Meridian,160010103223,1464,-0.379115969265013
97,d106826d4b,43.600277,-116.39604,2.0,3.0,1100.0,2018-01-04,2.0,1320.0,Meridian,160010103223,1464,-0.16629723419679454
98,9419a6a168,43.585636,-116.3608,1.0,2.0,931.0,2018-01-04,2.0,1105.0,Meridian,160010103133,1464,-0.9155873603939598
99,9ca50d55ae,43.585636,-116.3608,1.0,1.0,796.0,2018-01-04,2.0,1010.0,Meridian,160010103133,1464,-1.294454576120096
100,9f15583706,43.585636,-116.3608,2.0,2.0,1031.0,2018-01-04,2.0,1195.0,Meridian,160010103133,1464,-0.5855843143204754
101,4e8b4d2c16,43.626007,-116.39258999999998,1.0,1.0,780.0,2018-01-04,2.0,1395.0,Meridian,160010103331,1464,0.0666102272238573
105,b43d32599a,43.627163,-116.352,2.0,3.0,1325.0,2018-01-04,2.0,1370.0,Meridian,160010103313,1464,-0.009604372562192012
106,086f6a804d,43.627163,-116.352,2.0,2.0,1124.0,2018-01-04,2.0,1145.0,Meridian,160010103313,1464,-0.7657208145482953
108,f5416873bd,43.627163,-116.352,1.0,1.0,869.0,2018-01-04,2.0,1010.0,Meridian,160010103313,1464,-1.294454576120096
109,42a28f7541,43.627163,-116.352,2.0,2.0,1061.0,2018-01-04,2.0,1145.0,Meridian,160010103313,1464,-0.7657208145482953
110,46770cc621,43.627163,-116.352,1.0,1.0,930.0,2018-01-04,2.0,1010.0,Meridian,160010103313,1464,-1.294454576120096
111,1ba504e8d0,43.548462,-116.59703,2.0,3.0,1732.0,2017-04-20,1.0,1395.0,Nampa,160270209022,1205,0.0666102272238573
112,3f935f94b0,43.6031174,-116.44652990000002,2.0,3.0,1415.0,2018-10-13,2.0,1595.0,Meridian,160010103341,1746,0.6312731114092973
113,ef4b129ece,43.5823459,-116.4559,3.0,5.0,2990.0,2018-10-13,2.0,2695.0,Meridian,160010103131,1746,2.841909027959083
114,5c3e6c8963,43.6055385,-116.4406265,1.0,1.0,741.0,2018-10-13,2.0,1065.0,Meridian,160010103341,1746,-1.0709801698310824
115,dd24df99fe,43.6055385,-116.4406265,1.0,2.0,882.0,2018-10-13,2.0,1200.0,Meridian,160010103341,1746,-0.567986992239478
117,8047d18314,43.6055385,-116.4406265,2.0,2.0,1015.0,2018-10-13,2.0,1275.0,Meridian,160010103341,1746,-0.3124813398645766
118,e600156973,43.6055385,-116.4406265,2.0,2.0,1059.0,2018-10-13,2.0,1275.0,Meridian,160010103341,1746,-0.3124813398645766
119,311e89c32a,43.6055385,-116.4406265,2.0,3.0,1150.0,2018-10-13,2.0,1425.0,Meridian,160010103341,1746,0.15628494037217946
120,042f420dd8,43.6055385,-116.4406265,2.0,3.0,1180.0,2018-10-13,2.0,1425.0,Meridian,160010103341,1746,0.15628494037217946
121,201662f88f,43.1808871,-112.3614192,2.0,4.0,1680.0,2020-11-25,1.0,1350.0,Blackfoot,160119505004,2520,-0.07158420303606547
122,8f66c49452,43.1778265,-112.3489475,2.0,3.0,1200.0,2020-12-07,1.0,1000.0,Blackfoot,160119504005,2532,-1.3363907680469174
123,3122efe8fd,43.2038807,-112.3348062,1.0,3.0,1105.0,2021-01-25,1.0,1200.0,Blackfoot,160119505001,2581,-0.567986992239478
124,3122efe8fd,43.2038807,-112.3348062,1.0,3.0,1105.0,2021-01-26,1.0,1200.0,Blackfoot,160119505001,2582,-0.567986992239478
125,3122efe8fd,43.2038807,-112.3348062,1.0,3.0,1105.0,2021-01-27,1.0,1200.0,Blackfoot,160119505001,2583,-0.567986992239478
126,3122efe8fd,43.2038807,-112.3348062,1.0,3.0,1105.0,2021-01-28,1.0,1200.0,Blackfoot,160119505001,2584,-0.567986992239478
128,7ebd577055,43.81457,-111.80613,2.5,3.0,1420.0,2017-04-06,0.0,1200.0,Rexburg,160659503022,1191,-0.567986992239478
130,d9c8071f6e,43.81457,-111.80613,2.5,3.0,1450.0,2017-04-06,0.0,1125.0,Rexburg,160659503022,1191,-0.839987978843505
132,d328e0e561,43.811966,-111.81754,2.0,4.0,2600.0,2017-04-06,1.0,1399.0,Rexburg,160659503022,1191,0.07867767287833899
133,d328e0e561,43.811966,-111.81754,2.0,4.0,2600.0,2017-04-06,1.0,1399.0,Rexburg,160659503022,1191,0.07867767287833899
134,a25e69ebb9,43.816864,-111.76567,3.0,4.0,3000.0,2017-04-06,1.0,1600.0,Rexburg,160659504001,1191,0.6444642098631749
135,8088071024,43.821224,-111.810524,1.5,3.0,1100.0,2017-04-06,0.0,1100.0,Rexburg,160659503022,1191,-0.934701010004234
138,d9b7df64a4,43.812004,-111.82695,2.0,3.0,1400.0,2017-03-16,0.0,1150.0,Rexburg,160659505003,1170,-0.7473567222449625
139,d9b7df64a4,43.812004,-111.82695,2.0,3.0,1400.0,2017-03-16,0.0,1100.0,Rexburg,160659505003,1170,-0.934701010004234
140,b06341b784,43.81325,-111.80653,2.0,3.0,1104.0,2017-03-16,2.0,1045.0,Rexburg,160659503022,1170,-1.1508792928912024
141,dc25cc133e,43.816833,-111.804214,2.0,3.0,1450.0,2017-03-16,0.0,1150.0,Rexburg,160659503022,1170,-0.7473567222449625
142,9205d77d94,42.555697,-114.448757,2.0,3.0,1300.0,2019-08-02,2.0,1100.0,Twin Falls,160830010001,2039,-0.934701010004234
143,9205d77d94,42.555697,-114.448757,2.0,3.0,1300.0,2019-08-05,2.0,1100.0,Twin Falls,160830010001,2042,-0.934701010004234
144,a3aee80aca,42.59782,-114.4914851,2.0,4.0,1741.0,2019-08-03,1.0,1600.0,Twin Falls,160830007001,2040,0.6444642098631749
145,e56f64c425,47.79645,-116.88703999999998,2.0,3.0,1600.0,2016-12-29,1.0,1600.0,Rathdrum,160550003022,1093,0.6444642098631749
146,4e12b560ea,47.802845,-116.91521000000002,2.0,2.0,2360.0,2016-12-29,1.0,1100.0,Rathdrum,160550003011,1093,-0.934701010004234
147,b73c38af9c,43.634308,-116.60414,2.0,3.0,1214.0,2016-01-14,1.0,1025.0,Nampa,160270211001,743,-1.232322455541035
148,37ba302d8d,43.636,-116.607,2.0,3.0,1230.0,2016-01-14,1.0,1025.0,Nampa,160270211001,743,-1.232322455541035
149,cb2987231f,43.55362,-116.6085,3.5,4.0,2450.0,2016-01-14,1.0,1400.0,Nampa,160270209022,743,0.08168914318542979
150,80cfe96cbc,43.54453,-116.515,2.0,4.0,1409.0,2016-01-14,1.0,1150.0,Nampa,160270209011,743,-0.7473567222449625
151,be3dbeda74,43.55292,-116.5966,2.0,3.0,1556.0,2016-01-14,1.0,1100.0,Nampa,160270209022,743,-0.934701010004234
152,160e8640e7,43.56653,-116.57467,2.5,4.0,1312.0,2016-01-14,1.0,1150.0,Nampa,160270204025,743,-0.7473567222449625
153,0527f0e11c,43.54723,-116.5644,2.0,4.0,1994.0,2016-01-14,1.0,1050.0,Nampa,160270205042,743,-1.130762058917227
154,5c24c7e8bc,43.54723,-116.5644,2.0,3.0,1994.0,2016-01-14,1.0,1050.0,Nampa,160270205042,743,-1.130762058917227
155,166192a196,43.620552,-116.51769,2.0,3.0,1669.0,2016-01-14,1.0,1100.0,Nampa,160270211002,743,-0.934701010004234
157,0867fc4e45,43.6158,-116.522,2.0,3.0,1640.0,2016-01-14,1.0,1050.0,Nampa,160270211002,743,-1.130762058917227
158,7cb5731cb3,43.538815,-116.52432,2.0,4.0,1423.0,2016-01-14,1.0,1000.0,Nampa,160270209011,743,-1.3363907680469174
160,6d664a4b2e,43.54442,-116.5797,2.0,3.0,1465.0,2016-01-14,1.0,1150.0,Nampa,160270209023,743,-0.7473567222449625
161,489b12dd5a,43.557835,-116.5886,2.0,3.0,1706.0,2016-01-14,1.0,1050.0,Nampa,160270205031,743,-1.130762058917227
163,c0d262fd02,43.63322,-116.610176,2.0,3.0,1559.0,2016-01-14,1.0,1050.0,Nampa,160270210021,743,-1.130762058917227
164,0fe0515a45,43.5384,-116.548,2.5,3.0,1556.0,2016-01-14,1.0,1075.0,Nampa,160270209012,743,-1.0315915418672117
166,89165bc108,43.8221487,-111.7772601,2.0,3.0,1600.0,2019-07-25,3.0,1045.0,Rexburg,160659504003,2031,-1.1508792928912024
167,aef1b7549a,47.78908,-116.87791,2.0,3.0,1408.0,2016-08-18,1.0,1300.0,Rathdrum,160550003022,960,-0.23064279727023151
168,aa48df3832,47.752197,-116.79582,2.0,3.0,1550.0,2017-08-03,1.0,1395.0,Hayden,160550010012,1310,0.0666102272238573
169,bb6fe9919a,47.756905,-116.80196,2.0,3.0,1624.0,2017-08-03,1.0,1395.0,Hayden,160550010012,1310,0.0666102272238573
170,7329e7a12f,47.76725,-116.76168,2.0,3.0,1928.0,2017-08-03,1.0,1675.0,Hayden,160550018001,1310,0.8375309051756434
171,106776946f,47.74782,-116.76673,3.0,4.0,2017.0,2017-08-03,1.0,1500.0,Hayden,160550018003,1310,0.372463223259148
172,971c983c5f,47.862553000000005,-116.725334,3.0,5.0,3000.0,2017-08-03,1.0,1750.0,Hayden,160550002003,1310,1.022139358684052
174,f7a9969508,47.770645,-116.78014,2.0,4.0,1608.0,2017-08-03,1.0,1550.0,Hayden,160550010021,1310,0.5106576535190744
175,582436ffb6,47.8516832,-116.9070956,2.0,4.0,1670.0,2020-01-17,1.0,1850.0,Rathdrum,160550003021,2207,1.2563414146519605
178,46d4b5bc0c,47.822390000000006,-116.877464,2.0,4.0,1794.0,2016-05-19,1.0,1295.0,Rathdrum,160550003023,869,-0.24688386752441424
179,13e7661129,42.53688,-114.47917,1.0,3.0,1040.0,2016-09-08,1.0,1000.0,Twin Falls,160830012004,981,-1.3363907680469174
180,eac4ee1997,42.536255,-114.472466,2.0,3.0,1140.0,2016-09-08,1.0,1150.0,Twin Falls,160830012004,981,-0.7473567222449625
181,b616c4f132,42.585995,-114.45471,2.0,3.0,1564.0,2016-09-08,1.0,1400.0,Twin Falls,160830009001,981,0.08168914318542979
182,7a90dcfe78,42.52864,-114.471375,2.0,3.0,1368.0,2016-09-08,0.0,1300.0,Twin Falls,160830012002,981,-0.23064279727023151
183,b31da7fb38,42.572186,-114.481,2.0,4.0,2008.0,2016-09-08,1.0,1100.0,Twin Falls,160830007005,981,-0.934701010004234
185,1e760ddc00,42.521378000000006,-114.475525,2.0,3.0,1342.0,2016-09-08,0.0,1350.0,Twin Falls,160830012002,981,-0.07158420303606547
186,67648a9a61,42.57381,-114.46715,1.0,4.0,2238.0,2016-09-08,1.0,1300.0,Twin Falls,160830008004,981,-0.23064279727023151
187,67648a9a61,42.57381,-114.46715,1.0,4.0,2238.0,2016-09-08,1.0,1275.0,Twin Falls,160830008004,981,-0.3124813398645766
189,d88f10d890,43.59324,-116.59797,2.0,3.0,1396.0,2016-11-17,1.0,1050.0,Nampa,160270210024,1051,-1.130762058917227
190,9e9aa416e4,43.62984,-116.60845,2.0,3.0,1376.0,2016-11-17,1.0,1150.0,Nampa,160270210021,1051,-0.7473567222449625
191,0531745520,43.579735,-116.60641499999998,2.0,4.0,2100.0,2016-11-17,1.0,1295.0,Nampa,160270206011,1051,-0.24688386752441424
193,489b12dd5a,43.55782,-116.58857,2.0,3.0,1706.0,2016-11-17,1.0,1200.0,Nampa,160270205031,1051,-0.567986992239478
194,ee1476cbc7,43.63919,-116.60927,2.0,4.0,1556.0,2016-11-17,2.0,1195.0,Nampa,160270211001,1051,-0.5855843143204754
195,7e453d01c8,43.59449,-116.51673999999998,2.0,2.0,1182.0,2016-11-17,2.0,1160.0,Nampa,160270207002,1051,-0.7108668621320121
196,7e453d01c8,43.59449,-116.51673999999998,2.0,2.0,1182.0,2016-11-17,2.0,1240.0,Nampa,160270207002,1051,-0.4297925619795552
197,c994d1f8a5,43.59449,-116.51673999999998,2.0,3.0,1333.0,2016-11-17,2.0,1430.0,Nampa,160270207002,1051,0.17104696077245193
198,c994d1f8a5,43.59449,-116.51673999999998,2.0,3.0,1333.0,2016-11-17,2.0,1420.0,Nampa,160270207002,1051,0.14147103227157048
199,67660d5631,43.59449,-116.51673999999998,1.0,1.0,945.0,2016-11-17,2.0,1010.0,Nampa,160270207002,1051,-1.294454576120096
200,fba4c94778,43.59449,-116.51673999999998,1.0,1.0,875.0,2016-11-17,2.0,1015.0,Nampa,160270207002,1051,-1.273641928809761
204,53ff839323,43.60681,-116.62787,2.0,3.0,1216.0,2016-11-17,1.0,1025.0,Nampa,160270210022,1051,-1.232322455541035
205,27bd8a2f39,43.613007,-116.515945,2.0,3.0,1230.0,2016-11-17,2.0,1095.0,Nampa,160270211002,1051,-0.9539017380453936
206,1f81ee13cd,43.560246,-116.549774,2.0,3.0,1260.0,2016-11-17,1.0,1100.0,Nampa,160270205012,1051,-0.934701010004234
207,dc15e93b8c,43.57853,-116.60366,2.5,4.0,2794.0,2016-11-17,1.0,1295.0,Nampa,160270206011,1051,-0.24688386752441424
208,aa5fe56070,43.616104,-116.54134,2.0,4.0,1340.0,2016-11-17,1.0,1095.0,Nampa,160270211002,1051,-0.9539017380453936
209,1b7bc9ac07,43.520172,-116.65226,2.0,3.0,2517.0,2016-11-17,1.0,1800.0,Nampa,160270223002,1051,1.1408669990665874
210,9641b5de61,43.537537,-116.56777,2.0,3.0,1450.0,2016-11-17,1.0,1000.0,Nampa,160270209012,1051,-1.3363907680469174
211,46ceb56714,43.535175,-116.529076,2.0,3.0,2818.0,2016-11-17,1.0,1500.0,Nampa,160270209011,1051,0.372463223259148
212,cac2ce6136,47.8626736,-116.8513502,2.0,3.0,1129.0,2019-09-24,1.0,1295.0,Rathdrum,160550002004,2092,-0.24688386752441424
213,a0bad61ef7,47.7944353,-116.8691,2.0,3.0,1144.0,2019-09-27,1.0,1450.0,Rathdrum,160550003022,2095,0.2295833533666138
217,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-10,2.0,1225.0,Nampa,160270210011,2656,-0.48108592349231905
218,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-11,2.0,1225.0,Nampa,160270210011,2657,-0.48108592349231905
219,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-13,2.0,1225.0,Nampa,160270210011,2659,-0.48108592349231905
220,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-15,2.0,1225.0,Nampa,160270210011,2661,-0.48108592349231905
221,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-16,2.0,1225.0,Nampa,160270210011,2662,-0.48108592349231905
222,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-17,2.0,1225.0,Nampa,160270210011,2663,-0.48108592349231905
223,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-19,2.0,1225.0,Nampa,160270210011,2665,-0.48108592349231905
224,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-21,2.0,1225.0,Nampa,160270210011,2667,-0.48108592349231905
225,53cbb6164d,43.604899,-116.633207,2.0,2.0,880.0,2021-04-22,2.0,1225.0,Nampa,160270210011,2668,-0.48108592349231905
227,ef39dd2e4c,43.568084000000006,-116.575387,1.0,2.0,800.0,2021-04-14,1.0,1350.0,Nampa,160270204025,2660,-0.07158420303606547
230,550f471383,43.604899,-116.635234,2.0,2.0,880.0,2021-04-14,3.0,1225.0,Nampa,160270210011,2660,-0.48108592349231905
234,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-01,1.0,1050.0,Rigby,160519603004,2588,-1.130762058917227
235,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-02,1.0,1050.0,Rigby,160519603004,2589,-1.130762058917227
236,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-03,1.0,1050.0,Rigby,160519603004,2590,-1.130762058917227
237,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-04,1.0,1050.0,Rigby,160519603004,2591,-1.130762058917227
238,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-05,1.0,1050.0,Rigby,160519603004,2592,-1.130762058917227
239,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-08,1.0,1050.0,Rigby,160519603004,2595,-1.130762058917227
240,2ed9d00256,43.678603,-111.923479,1.0,3.0,1471.0,2021-02-11,1.0,1050.0,Rigby,160519603004,2598,-1.130762058917227
